Date,Open,High,Low,Close,Adj Close,Volume
1,42,45,41.060001,41.57,41.57,186322500
2,38.790001,39.240002,36.080002,37.099998,37.099998,79442400
3,38.310001,39.959999,36.849998,39.959999,39.959999,46661100
4,39.369999,41.880001,38.950001,41.290001,41.290001,36086100
5,41.48,44.060001,41.25,43,43,38115500
6,41.98,43.290001,41.27,41.91,41.91,20225700
7,41.189999,41.68,39.459999,41.59,41.59,29222300
8,42,42.240002,41.25,41.5,41.5,10802900
9,41.049999,41.279999,40.5,41.25,41.25,9089500
10,40.799999,41.09,40.02,40.470001,40.470001,11119900
11,41.279999,41.509998,40.5,41.509998,41.509998,8786800
12,41.700001,41.799999,40.599998,40.950001,40.950001,13391600
13,40.52,40.709999,39.146999,39.939999,39.939999,14060400
14,40.07,40.380001,39.5,39.799999,39.799999,26451900
15,41.150002,41.57,39.41,40.41,40.41,23209800
16,40.743999,41.849998,40.240002,41.25,41.25,16605300
17,42.560001,42.880001,40.700001,42.75,42.75,23432100
18,42.869999,45.66,42.5,45,45,28609600
19,45,45.75,44.279999,44.919998,44.919998,16403700
20,44.919998,45.669998,44.130001,44.16,44.16,12654700
21,44.02,44.59,42.529999,42.610001,42.610001,11618700
22,43.220001,43.650002,41.799999,42.450001,42.450001,9095000
23,42.52,42.650002,41.709999,42.169998,42.169998,5965300
24,43.049999,44.349998,42.799999,44.310001,44.310001,10178900
25,44.75,44.799999,43.110001,43.23,43.23,7902200
26,43.279999,44.078999,42.93,43.779999,43.779999,6557600
27,44.299999,44.889999,43.75,43.860001,43.860001,7313600
28,44.459999,45.5,43.950001,44.860001,44.860001,10331500
29,45.029999,45.290001,43.509998,43.860001,43.860001,9567400
30,43.849998,44.139999,43.380001,44,44,4974000
31,44,44.07,42.82,43.09,43.09,5985100
32,43.279999,43.790001,42.443001,43.09,43.09,5753300
33,43.25,43.400002,42.360001,42.5,42.5,8109100
34,43.349998,45.299999,43.200001,45.130001,45.130001,20155100
35,45.099998,47.080002,45.080002,46.380001,46.380001,28657000
36,46.98,47.040001,44.060001,44.27,44.27,17740000
37,44.549999,44.68,43.75,44,44,11881300
38,44,44.459999,43.790001,44.23,44.23,3380000
39,44.310001,44.549999,43.009998,43.529999,43.529999,8239500
40,43.59,43.849998,42.75,42.950001,42.950001,9304100
41,43.18,44.23,42.98,44.200001,44.200001,5251600
42,44.48,44.799999,43.560001,43.700001,43.700001,9746500
43,44.099998,44.290001,43.310001,43.990002,43.990002,8050900
44,44.16,44.240002,43.389999,43.990002,43.990002,8760500
45,44.200001,44.700001,43.970001,44.529999,44.529999,5811200
46,44.599998,44.98,44.02,44.130001,44.130001,5613300
47,44.060001,44.349998,43.52,43.619999,43.619999,5854100
48,43.5,43.849998,43.189999,43.709999,43.709999,4123600
49,43.900002,44.085999,43.16,43.18,43.18,4021000
50,43.25,43.720001,43.009998,43.689999,43.689999,3815300
51,43.75,44.310001,43.110001,43.360001,43.360001,5110100
52,43.360001,43.869999,43.360001,43.759998,43.759998,3775700
53,43.720001,43.959999,43.209999,43.400002,43.400002,4412000
54,43.419998,44.959999,43.389999,44.52,44.52,7598800
55,45,45.626999,43.119999,43.880001,43.880001,8652200
56,43.709999,43.740002,42.490002,42.59,42.59,7686300
57,42.599998,42.98,41.84,42.139999,42.139999,5970800
58,42.139999,42.535999,41,41.310001,41.310001,7349700
59,41.029999,41.060001,39.950001,40.400002,40.400002,8225700
60,39.349998,39.419998,38.432999,39.049999,39.049999,9799300
61,39.68,40.807999,38.360001,39.150002,39.150002,8570300
62,39.060001,39.990002,38.32,39.700001,39.700001,8896000
63,41.98,43,41.25,42.970001,42.970001,29610500
64,39.560001,40.68,38.709999,40.049999,40.049999,35138800
65,39.830002,39.950001,37,37,37,21231300
66,37,37.459999,36.119999,36.450001,36.450001,18990600
67,36,36.299999,33.360001,33.959999,33.959999,24481600
68,34.52,34.549999,32.919998,33.220001,33.220001,13265800
69,33.459999,35.48,33.400002,35.23,35.23,13883200
70,35.529999,35.799999,34.369999,34.610001,34.610001,10853100
71,34.48,36.07,34.389999,35.290001,35.290001,10760700
72,35.5,35.830002,34.75,34.91,34.91,7923000
73,34.799999,34.91,33.52,34,34,8513300
74,33.650002,34.23,33.119999,33.43,33.43,8160600
75,33.669998,33.830002,33.060001,33.310001,33.310001,5662500
76,33.689999,34.240002,32.98,33.110001,33.110001,6574800
77,32.560001,33.049999,32.259998,32.59,32.59,6245500
78,32.900002,33.299999,32.599998,32.759998,32.759998,5772200
79,33,33.130001,32.040001,32.57,32.57,6628700
80,32.099998,32.529999,30.665001,30.700001,30.700001,12154000
81,30.91,32.360001,30.85,31.99,31.99,10357600
82,32.330002,33.029999,32.25,32.509998,32.509998,7933300
83,32.709999,32.740002,31.41,31.860001,31.860001,7024100
